seq,lon,lat
451,18.948904,46.903917
452,18.938975,46.891791
453,18.930919,46.877224
454,18.927501,46.865017
455,18.926036,46.835273
456,18.927501,46.827175
457,18.933116,46.820583
458,18.950613,46.807156
459,18.954356,46.803534
460,18.958425,46.800849
461,18.975352,46.784003
462,18.978526,46.779975
463,18.984793,46.775662
464,18.986827,46.765489
465,18.987559,46.753974
466,18.989024,46.745185
467,18.998953,46.723212
468,19.00172,46.708523
469,18.996349,46.694892
470,18.981619,46.676337
471,18.952891,46.656195
472,18.885265,46.635321
473,18.858165,46.614854
474,18.877208,46.591173
475,18.907644,46.531806
476,18.920177,46.498847
477,18.922781,46.468695
478,18.898936,46.414374
479,18.892263,46.378445
480,18.895518,46.362901
481,18.910085,46.342963
482,18.913341,46.330634
483,18.914968,46.195258
484,18.903575,46.173041
485,18.872325,46.183458
486,18.825206,46.141547
487,18.813406,46.126166
488,18.794119,46.116726
489,18.789806,46.111518
490,18.785167,46.11225
491,18.775157,46.102973
492,18.762462,46.087266
493,18.700369,46.044786
494,18.691661,46.0185
495,18.721609,45.984931
496,18.806163,45.923611
497,18.831472,45.895535
498,18.832449,45.891059
499,18.830577,45.879503
500,18.831472,45.875067
501,18.835216,45.873481
502,18.841319,45.873969
503,18.847423,45.873155
504,18.85198,45.868191
505,18.853933,45.859239
506,18.85198,45.830349
507,18.849864,45.82449
508,18.846202,45.820258
509,18.844493,45.815945
510,18.848155,45.809841
511,18.863536,45.798774
512,18.870616,45.790229
513,18.899669,45.765163
514,18.904307,45.750067
515,18.908458,45.719672
516,18.916759,45.706855
517,18.930431,45.699083
518,18.947683,45.692328
519,18.962087,45.683295
520,18.968028,45.668972
521,18.962413,45.660346
522,18.934825,45.633612
523,18.923839,45.627997
524,18.911876,45.619452
525,18.907725,45.600653
526,18.906505,45.581895
527,18.903087,45.57331
528,18.91155,45.568427
529,18.93157,45.545762
530,18.941335,45.539252
531,18.959646,45.539374
532,18.972667,45.546495
533,18.982677,45.554999
534,19.000173,45.561469
535,19.008718,45.565741
536,19.017589,45.567572
537,19.026622,45.562812
538,19.032725,45.554877
539,19.035899,45.54975
540,19.040294,45.545274
541,19.050548,45.539252
542,19.067312,45.533637
543,19.081798,45.53144
544,19.094493,45.526313
545,19.105724,45.511908
546,19.076589,45.491889
547,19.009044,45.498887
548,18.99586,45.474066
549,19.002452,45.455593
550,19.031016,45.43419
551,19.036794,45.422553
552,19.028087,45.412421
553,18.975352,45.395209
554,18.988292,45.379462
555,19.003184,45.3664
556,19.020518,45.357489
557,19.040212,45.354275
558,19.081554,45.354275
559,19.091319,45.350287
560,19.094737,45.340766
561,19.095714,45.329413
562,19.098318,45.320136
563,19.124278,45.298407
564,19.16155,45.285264
565,19.362722,45.248481
566,19.406749,45.248969
567,19.490896,45.264268
568,19.529552,45.266872
569,19.557628,45.255805
570,19.571707,45.236599
571,19.580496,45.23078
572,19.598562,45.227851
573,19.658132,45.234442
574,19.698497,45.24669
575,19.741954,45.245063
576,19.784923,45.237494
577,19.810802,45.227851
578,19.817068,45.231716
579,19.831716,45.238145
580,19.838145,45.242133
581,19.846609,45.250556
582,19.855642,45.265082
583,19.862478,45.272813
584,19.88087,45.282294
585,19.898611,45.279364
586,19.914317,45.268907
587,19.927501,45.255805
588,19.949392,45.218695
589,19.965587,45.198554
590,19.985606,45.189765
591,20.04241,45.177761
592,20.064708,45.175482
593,20.184988,45.185004
594,20.222423,45.175482
595,20.257009,45.156765
596,20.28948,45.13227
597,20.345876,45.073065
598,20.356944,45.034491
599,20.333263,45.010565
600,20.303966,44.993964
601,20.298106,44.977484
602,20.290701,44.977484
603,20.303233,44.954657
604,20.318858,44.934394
605,20.396902,44.864569
606,20.408458,44.857042
607,20.455089,44.840277
608,20.514171,44.836859
609,20.545909,44.839789
610,20.580333,44.857367
