entity,code,t_per_person_2000,t_per_person_2023,population_2000,population_2023
Sudan,SDN,0.190231,0.354007,27816748,50042800
Senegal,SEN,0.391448,0.778968,9968262,18077573
Singapore,SGP,9.260569,8.821352,4035251,5789092
Saint Helena,SHN,1.818362,2.063582,6045,5316
Solomon Islands,SLB,0.515727,0.352194,440481,800014
Sierra Leone,SLE,0.061293,0.163162,4423615,8460523
El Salvador,SLV,0.950252,1.374072,5943363,6309629
Somalia,SOM,0.057621,0.070616,8838714,18358622
Saint Pierre and Miquelon,SPM,8.700333,9.335027,6317,5707
Serbia,SRB,5.147302,6.334863,7694608,6773204
South Sudan,SSD,0.073691,0.145105,6032274,11483370
Sao Tome and Principe,STP,0.356150,0.605669,144029,230882
Suriname,SUR,4.600505,4.561335,476647,628892
Slovakia,SVK,7.655582,5.575558,5380001,5518057
Slovenia,SVN,7.579839,5.670411,1986817,2118394
Sweden,SWE,6.187081,3.478995,8872099,10551493
Eswatini,SWZ,1.157503,0.836739,1041428,1230507
Sint Maarten (Dutch part),SXM,17.942883,16.156517,30796,42775
Seychelles,SYC,3.824956,5.011754,83339,127961
Syria,SYR,3.277267,1.342409,16637884,23594623
Turks and Caicos Islands,TCA,5.665778,7.893101,18754,46221
Chad,TCD,0.057273,0.147439,8512092,19319075
Togo,TGO,0.278313,0.324788,4783721,8223853
Thailand,THA,2.656054,3.692115,63007815,71702436
Tajikistan,TJK,0.355856,0.987919,6284737,10389807
Turkmenistan,TKM,8.589196,12.956967,4582675,7364437
East Timor,TLS,0.295076,0.459959,745095,1384292
Tonga,TON,0.963319,1.394358,102695,104613
Trinidad and Tobago,TTO,18.450056,23.644289,1319781,1502938
Tunisia,TUN,1.990385,2.601368,9764940,12200434
Turkey,TUR,3.560268,5.579716,65425957,87270502
Tuvalu,TUV,0.766046,1.112128,9566,9837
Taiwan,TWN,10.161433,11.456240,22332873,23317145
Tanzania,TZA,0.075067,0.304868,34260142,66617607
Uganda,UGA,0.056703,0.128161,24000158,48656606
Ukraine,UKR,5.764382,3.692418,49556654,37732833
Uruguay,URY,1.615627,2.251108,3266212,3388083
United States,USA,21.397860,14.319450,281484126,343477330
Uzbekistan,UZB,4.981572,3.446397,24787052,35652311
Saint Vincent and the Grenadines,VCT,1.258319,2.429651,113561,101331
Venezuela,VEN,5.826397,4.225587,24526707,28300861
British Virgin Islands,VGB,5.785453,4.752365,20266,39009
Vietnam,VNM,0.699062,3.461796,77154016,100352189
Vanuatu,VUT,0.452370,0.588156,186290,320422
Wallis and Futuna,WLF,1.485004,2.560470,14804,11394
Samoa,WSM,0.786461,1.083868,181695,216673
Yemen,YEM,0.806749,0.257450,19624139,39390800
South Africa,ZAF,8.022367,6.906941,47159715,63212386
Zambia,ZMB,0.178097,0.570872,10017633,20723967
Zimbabwe,ZWE,1.161661,0.822681,11892055,16340829
