Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1421262,NTD_RAB2,COUNTRY,HUN,YEAR,EUR,Europe,,2011,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
39793,NTD_RAB2,COUNTRY,GIN,YEAR,AFR,Africa,,2018,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4739516,NTD_RAB2,COUNTRY,HND,YEAR,AMR,Americas,,2021,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6652978,NTD_RAB2,COUNTRY,LCA,YEAR,AMR,Americas,,2012,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
5003325,NTD_RAB2,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,2017,,,,,,,,1,1.0,,,,2024-06-03T07:26:23.447+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1874827,NTD_RAB2,COUNTRY,STP,YEAR,AFR,Africa,,2024,,,,,,,,No data,,,,,2025-09-09T13:40:51.93+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
8598300,NTD_RAB2,COUNTRY,FJI,YEAR,WPR,Western Pacific,,2013,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
3552177,NTD_RAB2,COUNTRY,PRT,YEAR,EUR,Europe,,2013,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2098992,NTD_RAB2,COUNTRY,JPN,YEAR,WPR,Western Pacific,,2019,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4099599,NTD_RAB2,COUNTRY,FIN,YEAR,EUR,Europe,,2017,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
5788825,NTD_RAB2,COUNTRY,GMB,YEAR,AFR,Africa,,2010,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4112784,NTD_RAB2,COUNTRY,COM,YEAR,AFR,Africa,,2013,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2859722,NTD_RAB2,COUNTRY,BEL,YEAR,EUR,Europe,,2019,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
